Image,Task 3 (Damage),Task 5 (Vehicle),Task 6 (Visibility),Task 7 (Time),Task 8 (Multiple),Overall Result
kaggle/Car damages 266_det01_0693px_vehicle_0p875.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 917_det02_0277px_vehicle_0p541.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1509_det01_0266px_vehicle_0p618.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 708_det01_0464px_vehicle_0p488.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1508_det02_0319px_vehicle_0p455.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 707_det01_0414px_vehicle_0p814.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 918_det01_0481px_vehicle_0p569.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 267_det01_0794px_vehicle_0p801.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 709_det01_0476px_vehicle_0p580.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 919_det01_0478px_vehicle_0p584.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 710_det01_0572px_vehicle_0p751.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 268_det01_0536px_vehicle_0p577.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1509_det02_0776px_vehicle_0p609.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 150_det01_0471px_vehicle_0p795.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 711_det01_0737px_vehicle_0p834.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 921_det01_0820px_vehicle_0p891.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 920_det01_0588px_vehicle_0p611.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 269_det01_0833px_vehicle_0p890.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1510_det01_0721px_vehicle_0p674.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1512_det01_0521px_vehicle_0p478.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 26_det01_0334px_vehicle_0p861.png,None,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 923_det01_0462px_vehicle_0p782.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 713_det01_0570px_vehicle_0p650.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 271_det01_0663px_vehicle_0p866.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1513_det01_0774px_vehicle_0p897.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 712_det01_0534px_vehicle_0p502.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 270_det01_0599px_vehicle_0p882.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 922_det01_0479px_vehicle_0p559.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 714_det01_0425px_vehicle_0p545.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 925_det01_0495px_vehicle_0p794.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1514_det01_0484px_vehicle_0p511.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 715_det01_0540px_vehicle_0p671.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 272_det01_0760px_vehicle_0p879.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1515_det01_0700px_vehicle_0p798.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 926_det01_0507px_vehicle_0p579.png,Minor,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 927_det01_0536px_vehicle_0p562.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 273_det01_0794px_vehicle_0p860.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 716_det01_0489px_vehicle_0p563.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 151_det01_0637px_vehicle_0p800.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 928_det01_0507px_vehicle_0p543.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 274_det01_0797px_vehicle_0p891.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1286_det01_0596px_vehicle_0p838.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 717_det01_0532px_vehicle_0p683.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1671_det01_0836px_vehicle_0p851.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1672_det01_0836px_vehicle_0p848.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1111_det01_0572px_vehicle_0p723.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1287_det01_0645px_vehicle_0p887.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1112_det01_0569px_vehicle_0p843.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1113_det01_0661px_vehicle_0p547.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1673_det01_0539px_vehicle_0p529.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1288_det01_0636px_vehicle_0p892.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1114_det01_0488px_vehicle_0p839.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1673_det02_0290px_vehicle_0p452.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1289_det01_0651px_vehicle_0p875.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 128_det01_0753px_vehicle_0p514.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1115_det01_0499px_vehicle_0p780.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1674_det01_0749px_vehicle_0p851.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1116_det01_0791px_vehicle_0p865.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1290_det01_0530px_vehicle_0p796.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1675_det01_0801px_vehicle_0p624.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1117_det01_0622px_vehicle_0p923.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1678_det01_0773px_vehicle_0p687.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1676_det01_0821px_vehicle_0p796.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1291_det01_0744px_vehicle_0p677.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1292_det02_0551px_vehicle_0p598.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1292_det01_0302px_vehicle_0p559.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1118_det01_0571px_vehicle_0p671.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1679_det01_0806px_vehicle_0p583.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1119_det01_0670px_vehicle_0p867.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 111_det01_0633px_vehicle_0p804.png,Severe,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 1120_det01_0601px_vehicle_0p906.png,Severe,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 1293_det01_0793px_vehicle_0p860.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1294_det01_0704px_vehicle_0p651.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1679_det02_0302px_vehicle_0p543.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1295_det01_0739px_vehicle_0p492.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1680_det01_0644px_vehicle_0p476.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 167_det01_0558px_vehicle_0p548.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1122_det01_0510px_vehicle_0p644.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1296_det01_0710px_vehicle_0p654.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1121_det01_0551px_vehicle_0p833.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1297_det01_0734px_vehicle_0p725.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1682_det01_0227px_vehicle_0p602.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1122_det02_0242px_vehicle_0p528.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1123_det01_0713px_vehicle_0p620.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1298_det01_0569px_vehicle_0p846.png,Moderate,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 1682_det02_0798px_vehicle_0p698.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1681_det01_0739px_vehicle_0p509.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1124_det01_0686px_vehicle_0p618.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1683_det01_0693px_vehicle_0p870.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1299_det01_0726px_vehicle_0p802.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1125_det01_0601px_vehicle_0p690.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1126_det01_0628px_vehicle_0p864.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 129_det01_0477px_vehicle_0p493.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1685_det01_0522px_vehicle_0p742.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1684_det01_0730px_vehicle_0p679.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 12_det01_0482px_vehicle_0p702.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1686_det01_0879px_vehicle_0p611.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1127_det01_0519px_vehicle_0p839.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1300_det01_0705px_vehicle_0p872.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1128_det01_0712px_vehicle_0p864.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1129_det01_0503px_vehicle_0p465.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1687_det01_0745px_vehicle_0p884.png,Severe,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 130_det01_0751px_vehicle_0p856.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1129_det02_0229px_vehicle_0p477.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1688_det02_0781px_vehicle_0p683.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 131_det01_0317px_vehicle_0p595.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1323_det01_0797px_vehicle_0p831.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1689_det01_0752px_vehicle_0p856.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1324_det01_0774px_vehicle_0p905.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 112_det01_0616px_vehicle_0p617.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1690_det01_0616px_vehicle_0p720.png,None,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1325_det01_0746px_vehicle_0p790.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1130_det01_0715px_vehicle_0p870.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 168_det01_0587px_vehicle_0p885.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1326_det01_0705px_vehicle_0p677.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1327_det01_0745px_vehicle_0p724.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1131_det01_0679px_vehicle_0p559.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1692_det01_0760px_vehicle_0p624.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1691_det01_0781px_vehicle_0p819.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1131_det02_0282px_vehicle_0p492.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1328_det01_0409px_vehicle_0p893.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1132_det01_0560px_vehicle_0p664.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1133_det01_0546px_vehicle_0p869.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1329_det01_0750px_vehicle_0p680.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1693_det01_0815px_vehicle_0p635.png,Moderate,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1695_det01_0710px_vehicle_0p568.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1134_det01_0535px_vehicle_0p787.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1694_det01_0751px_vehicle_0p860.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 132_det01_0459px_vehicle_0p830.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1135_det01_0681px_vehicle_0p735.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1330_det01_0797px_vehicle_0p870.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1696_det01_0444px_vehicle_0p484.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1136_det01_0536px_vehicle_0p811.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1137_det01_0566px_vehicle_0p704.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1332_det01_0741px_vehicle_0p787.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1331_det01_0726px_vehicle_0p621.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1696_det02_0246px_vehicle_0p585.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1138_det01_0632px_vehicle_0p566.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1697_det01_0470px_vehicle_0p663.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1333_det01_0643px_vehicle_0p805.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1698_det01_0760px_vehicle_0p656.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 113_det01_0578px_vehicle_0p836.png,Minor,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1140_det01_0467px_vehicle_0p531.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1335_det01_0694px_vehicle_0p846.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1699_det01_0807px_vehicle_0p860.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1334_det01_0761px_vehicle_0p772.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 169_det01_0616px_vehicle_0p515.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1141_det01_0796px_vehicle_0p856.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 16_det01_0531px_vehicle_0p633.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1337_det01_0696px_vehicle_0p529.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1336_det01_0734px_vehicle_0p863.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1143_det01_0600px_vehicle_0p605.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1338_det01_0745px_vehicle_0p699.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1700_det02_0713px_vehicle_0p652.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1144_det01_0808px_vehicle_0p698.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1701_det01_0782px_vehicle_0p798.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1339_det01_0620px_vehicle_0p871.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 133_det01_0514px_vehicle_0p467.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1145_det01_0579px_vehicle_0p655.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1147_det01_0719px_vehicle_0p869.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1702_det01_0777px_vehicle_0p656.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1146_det01_0750px_vehicle_0p723.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1340_det01_0559px_vehicle_0p768.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1703_det01_0811px_vehicle_0p885.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1704_det01_0730px_vehicle_0p882.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1706_det01_0573px_vehicle_0p843.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1341_det01_0868px_vehicle_0p891.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1149_det01_0662px_vehicle_0p472.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1148_det01_0595px_vehicle_0p687.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1344_det01_0665px_vehicle_0p890.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1345_det01_0766px_vehicle_0p805.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1707_det01_0773px_vehicle_0p571.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 114_det01_0574px_vehicle_0p476.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1150_det01_0606px_vehicle_0p819.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1708_det01_0721px_vehicle_0p857.png,Severe,PASS,FAIL,FAIL,PASS,FAIL
kaggle/Car damages 1346_det01_0798px_vehicle_0p800.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1151_det01_0636px_vehicle_0p853.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1347_det01_0798px_vehicle_0p860.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 170_det01_0479px_vehicle_0p834.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1710_det01_0908px_vehicle_0p858.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1712_det01_0816px_vehicle_0p799.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1152_det01_0728px_vehicle_0p708.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1348_det01_0712px_vehicle_0p628.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1153_det01_0692px_vehicle_0p870.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1713_det01_0704px_vehicle_0p785.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1349_det01_0654px_vehicle_0p892.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1154_det01_0721px_vehicle_0p782.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1350_det01_0646px_vehicle_0p876.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1351_det01_0679px_vehicle_0p725.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1156_det01_0677px_vehicle_0p720.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1715_det01_0770px_vehicle_0p701.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1155_det02_0635px_vehicle_0p775.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1716_det01_0786px_vehicle_0p787.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1351_det02_0205px_vehicle_0p665.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1352_det01_0493px_vehicle_0p681.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1718_det01_0786px_vehicle_0p847.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1157_det01_0604px_vehicle_0p600.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1157_det02_0310px_vehicle_0p471.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1719_det01_0797px_vehicle_0p786.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 171_det01_0540px_vehicle_0p839.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1353_det01_0741px_vehicle_0p728.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1354_det01_0798px_vehicle_0p860.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1159_det01_0619px_vehicle_0p586.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1720_det01_0785px_vehicle_0p860.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 115_det01_0746px_vehicle_0p826.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1160_det01_0684px_vehicle_0p618.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1721_det01_0551px_vehicle_0p580.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1355_det01_0798px_vehicle_0p842.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1721_det02_0237px_vehicle_0p528.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1356_det01_0798px_vehicle_0p861.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1357_det01_0707px_vehicle_0p809.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1161_det01_0621px_vehicle_0p634.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1722_det01_0781px_vehicle_0p902.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1358_det01_0733px_vehicle_0p658.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1162_det01_0647px_vehicle_0p897.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1359_det01_0759px_vehicle_0p816.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1163_det01_0593px_vehicle_0p498.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1725_det01_0626px_vehicle_0p507.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1163_det02_0434px_vehicle_0p579.png,Minor,PASS,FAIL,PASS,FAIL,FAIL
kaggle/Car damages 1723_det01_0750px_vehicle_0p857.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 135_det01_0574px_vehicle_0p883.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1164_det01_0619px_vehicle_0p819.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1360_det01_0758px_vehicle_0p817.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1726_det01_0774px_vehicle_0p909.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1165_det01_0681px_vehicle_0p881.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1166_det01_0721px_vehicle_0p689.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1727_det01_0776px_vehicle_0p795.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1728_det01_0728px_vehicle_0p785.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1361_det01_0709px_vehicle_0p808.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1362_det01_0717px_vehicle_0p873.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1729_det02_0796px_vehicle_0p651.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1167_det01_0726px_vehicle_0p826.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1363_det01_0798px_vehicle_0p844.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1364_det01_0535px_vehicle_0p481.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1168_det01_0567px_vehicle_0p841.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 172_det01_0634px_vehicle_0p661.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1730_det01_0752px_vehicle_0p574.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1169_det01_0533px_vehicle_0p534.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1731_det01_0797px_vehicle_0p759.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1365_det01_0696px_vehicle_0p714.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1366_det01_0772px_vehicle_0p650.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1170_det01_0762px_vehicle_0p494.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1367_det01_0623px_vehicle_0p519.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1733_det01_0562px_vehicle_0p660.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1732_det01_0777px_vehicle_0p834.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1171_det02_0594px_vehicle_0p692.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 443_det01_1036px_vehicle_0p717.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 443_det02_0211px_vehicle_0p549.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 447_det01_0798px_vehicle_0p870.png,Severe,PASS,FAIL,PASS,PASS,FAIL
